Scene ID,Region ID,Category Tag,# of Scenes,# of Regions,Regions per Scene,# of Instances,Mean Instances per Scene,Mean Instances per Region,Instance count in region
00006-HkseAnWCgqk,4,Aggregate for bathroom:bath:bath bar:bath cabinet:bath carpet:bath cosmetics:bath curtain:bath curtain bar:bath dial:bath door:bath door frame:bath faucet:bath floor:bath grab bar:bath hanger:bath mat:bath shelf:bath shower:bath side table:bath sink:bath tap:bath towel:bath towels:bath tub:bath utensil:bath wall:bathmat:bathrobe:bathroom accessory:bathroom art:bathroom cabinet:bathroom cabinet door:bathroom cabinet drawer:bathroom counter:bathroom floor:bathroom glass:bathroom mat:bathroom rug:bathroom shelf:bathroom stuff:bathroom towel:bathroom utensil:bathroom utensils:bathroom wall:bathroom window:bathtub:bathtub knob:bathtub platform:bathtub tap:bathtub utensil:bidet:shower:shower bar:shower base:shower battery:shower bench:shower cabin:shower cabinet:shower caddy:shower case:shower ceiling:shower ceiling lamp:shower cockpit:shower cosmetics:shower curtain:shower curtain bar:shower curtain rod:shower dial:shower door:shower door frame:shower door knob:shower floor:shower frame:shower glass:shower grab bar:shower handle:shower handrail:shower hanger:shower hose:shower hose/head:shower knob:shower mat:shower mirror:shower pipe:shower rail:shower rod:shower seat:shower shelf:shower soap shelf:shower stall:shower step:shower tap:shower tray:shower tub:shower utensil:shower valve:shower wall:shower wall cubby:shower window frame:shower-bath cabinet:showerhead:toilet:toilet brush:toilet brush holder:toilet cleaner:toilet paper:toilet paper dispenser:toilet seat:toothbrush:toothpaste:wall toilet paper,209,689,3.2966507177033493,4475,21.411483253588518,6.494920174165457,11
00006-HkseAnWCgqk,7,Aggregate for bathroom:bath:bath bar:bath cabinet:bath carpet:bath cosmetics:bath curtain:bath curtain bar:bath dial:bath door:bath door frame:bath faucet:bath floor:bath grab bar:bath hanger:bath mat:bath shelf:bath shower:bath side table:bath sink:bath tap:bath towel:bath towels:bath tub:bath utensil:bath wall:bathmat:bathrobe:bathroom accessory:bathroom art:bathroom cabinet:bathroom cabinet door:bathroom cabinet drawer:bathroom counter:bathroom floor:bathroom glass:bathroom mat:bathroom rug:bathroom shelf:bathroom stuff:bathroom towel:bathroom utensil:bathroom utensils:bathroom wall:bathroom window:bathtub:bathtub knob:bathtub platform:bathtub tap:bathtub utensil:bidet:shower:shower bar:shower base:shower battery:shower bench:shower cabin:shower cabinet:shower caddy:shower case:shower ceiling:shower ceiling lamp:shower cockpit:shower cosmetics:shower curtain:shower curtain bar:shower curtain rod:shower dial:shower door:shower door frame:shower door knob:shower floor:shower frame:shower glass:shower grab bar:shower handle:shower handrail:shower hanger:shower hose:shower hose/head:shower knob:shower mat:shower mirror:shower pipe:shower rail:shower rod:shower seat:shower shelf:shower soap shelf:shower stall:shower step:shower tap:shower tray:shower tub:shower utensil:shower valve:shower wall:shower wall cubby:shower window frame:shower-bath cabinet:showerhead:toilet:toilet brush:toilet brush holder:toilet cleaner:toilet paper:toilet paper dispenser:toilet seat:toothbrush:toothpaste:wall toilet paper,209,689,3.2966507177033493,4475,21.411483253588518,6.494920174165457,4
00006-HkseAnWCgqk,10,Aggregate for bathroom:bath:bath bar:bath cabinet:bath carpet:bath cosmetics:bath curtain:bath curtain bar:bath dial:bath door:bath door frame:bath faucet:bath floor:bath grab bar:bath hanger:bath mat:bath shelf:bath shower:bath side table:bath sink:bath tap:bath towel:bath towels:bath tub:bath utensil:bath wall:bathmat:bathrobe:bathroom accessory:bathroom art:bathroom cabinet:bathroom cabinet door:bathroom cabinet drawer:bathroom counter:bathroom floor:bathroom glass:bathroom mat:bathroom rug:bathroom shelf:bathroom stuff:bathroom towel:bathroom utensil:bathroom utensils:bathroom wall:bathroom window:bathtub:bathtub knob:bathtub platform:bathtub tap:bathtub utensil:bidet:shower:shower bar:shower base:shower battery:shower bench:shower cabin:shower cabinet:shower caddy:shower case:shower ceiling:shower ceiling lamp:shower cockpit:shower cosmetics:shower curtain:shower curtain bar:shower curtain rod:shower dial:shower door:shower door frame:shower door knob:shower floor:shower frame:shower glass:shower grab bar:shower handle:shower handrail:shower hanger:shower hose:shower hose/head:shower knob:shower mat:shower mirror:shower pipe:shower rail:shower rod:shower seat:shower shelf:shower soap shelf:shower stall:shower step:shower tap:shower tray:shower tub:shower utensil:shower valve:shower wall:shower wall cubby:shower window frame:shower-bath cabinet:showerhead:toilet:toilet brush:toilet brush holder:toilet cleaner:toilet paper:toilet paper dispenser:toilet seat:toothbrush:toothpaste:wall toilet paper,209,689,3.2966507177033493,4475,21.411483253588518,6.494920174165457,2
00009-vLpv2VX547B,1,Aggregate for bathroom:bath:bath bar:bath cabinet:bath carpet:bath cosmetics:bath curtain:bath curtain bar:bath dial:bath door:bath door frame:bath faucet:bath floor:bath grab bar:bath hanger:bath mat:bath shelf:bath shower:bath side table:bath sink:bath tap:bath towel:bath towels:bath tub:bath utensil:bath wall:bathmat:bathrobe:bathroom accessory:bathroom art:bathroom cabinet:bathroom cabinet door:bathroom cabinet drawer:bathroom counter:bathroom floor:bathroom glass:bathroom mat:bathroom rug:bathroom shelf:bathroom stuff:bathroom towel:bathroom utensil:bathroom utensils:bathroom wall:bathroom window:bathtub:bathtub knob:bathtub platform:bathtub tap:bathtub utensil:bidet:shower:shower bar:shower base:shower battery:shower bench:shower cabin:shower cabinet:shower caddy:shower case:shower ceiling:shower ceiling lamp:shower cockpit:shower cosmetics:shower curtain:shower curtain bar:shower curtain rod:shower dial:shower door:shower door frame:shower door knob:shower floor:shower frame:shower glass:shower grab bar:shower handle:shower handrail:shower hanger:shower hose:shower hose/head:shower knob:shower mat:shower mirror:shower pipe:shower rail:shower rod:shower seat:shower shelf:shower soap shelf:shower stall:shower step:shower tap:shower tray:shower tub:shower utensil:shower valve:shower wall:shower wall cubby:shower window frame:shower-bath cabinet:showerhead:toilet:toilet brush:toilet brush holder:toilet cleaner:toilet paper:toilet paper dispenser:toilet seat:toothbrush:toothpaste:wall toilet paper,209,689,3.2966507177033493,4475,21.411483253588518,6.494920174165457,5
00009-vLpv2VX547B,3,Aggregate for bathroom:bath:bath bar:bath cabinet:bath carpet:bath cosmetics:bath curtain:bath curtain bar:bath dial:bath door:bath door frame:bath faucet:bath floor:bath grab bar:bath hanger:bath mat:bath shelf:bath shower:bath side table:bath sink:bath tap:bath towel:bath towels:bath tub:bath utensil:bath wall:bathmat:bathrobe:bathroom accessory:bathroom art:bathroom cabinet:bathroom cabinet door:bathroom cabinet drawer:bathroom counter:bathroom floor:bathroom glass:bathroom mat:bathroom rug:bathroom shelf:bathroom stuff:bathroom towel:bathroom utensil:bathroom utensils:bathroom wall:bathroom window:bathtub:bathtub knob:bathtub platform:bathtub tap:bathtub utensil:bidet:shower:shower bar:shower base:shower battery:shower bench:shower cabin:shower cabinet:shower caddy:shower case:shower ceiling:shower ceiling lamp:shower cockpit:shower cosmetics:shower curtain:shower curtain bar:shower curtain rod:shower dial:shower door:shower door frame:shower door knob:shower floor:shower frame:shower glass:shower grab bar:shower handle:shower handrail:shower hanger:shower hose:shower hose/head:shower knob:shower mat:shower mirror:shower pipe:shower rail:shower rod:shower seat:shower shelf:shower soap shelf:shower stall:shower step:shower tap:shower tray:shower tub:shower utensil:shower valve:shower wall:shower wall cubby:shower window frame:shower-bath cabinet:showerhead:toilet:toilet brush:toilet brush holder:toilet cleaner:toilet paper:toilet paper dispenser:toilet seat:toothbrush:toothpaste:wall toilet paper,209,689,3.2966507177033493,4475,21.411483253588518,6.494920174165457,1
00009-vLpv2VX547B,13,Aggregate for bathroom:bath:bath bar:bath cabinet:bath carpet:bath cosmetics:bath curtain:bath curtain bar:bath dial:bath door:bath door frame:bath faucet:bath floor:bath grab bar:bath hanger:bath mat:bath shelf:bath shower:bath side table:bath sink:bath tap:bath towel:bath towels:bath tub:bath utensil:bath wall:bathmat:bathrobe:bathroom accessory:bathroom art:bathroom cabinet:bathroom cabinet door:bathroom cabinet drawer:bathroom counter:bathroom floor:bathroom glass:bathroom mat:bathroom rug:bathroom shelf:bathroom stuff:bathroom towel:bathroom utensil:bathroom utensils:bathroom wall:bathroom window:bathtub:bathtub knob:bathtub platform:bathtub tap:bathtub utensil:bidet:shower:shower bar:shower base:shower battery:shower bench:shower cabin:shower cabinet:shower caddy:shower case:shower ceiling:shower ceiling lamp:shower cockpit:shower cosmetics:shower curtain:shower curtain bar:shower curtain rod:shower dial:shower door:shower door frame:shower door knob:shower floor:shower frame:shower glass:shower grab bar:shower handle:shower handrail:shower hanger:shower hose:shower hose/head:shower knob:shower mat:shower mirror:shower pipe:shower rail:shower rod:shower seat:shower shelf:shower soap shelf:shower stall:shower step:shower tap:shower tray:shower tub:shower utensil:shower valve:shower wall:shower wall cubby:shower window frame:shower-bath cabinet:showerhead:toilet:toilet brush:toilet brush holder:toilet cleaner:toilet paper:toilet paper dispenser:toilet seat:toothbrush:toothpaste:wall toilet paper,209,689,3.2966507177033493,4475,21.411483253588518,6.494920174165457,9
00016-qk9eeNeR4vw,4,Aggregate for bathroom:bath:bath bar:bath cabinet:bath carpet:bath cosmetics:bath curtain:bath curtain bar:bath dial:bath door:bath door frame:bath faucet:bath floor:bath grab bar:bath hanger:bath mat:bath shelf:bath shower:bath side table:bath sink:bath tap:bath towel:bath towels:bath tub:bath utensil:bath wall:bathmat:bathrobe:bathroom accessory:bathroom art:bathroom cabinet:bathroom cabinet door:bathroom cabinet drawer:bathroom counter:bathroom floor:bathroom glass:bathroom mat:bathroom rug:bathroom shelf:bathroom stuff:bathroom towel:bathroom utensil:bathroom utensils:bathroom wall:bathroom window:bathtub:bathtub knob:bathtub platform:bathtub tap:bathtub utensil:bidet:shower:shower bar:shower base:shower battery:shower bench:shower cabin:shower cabinet:shower caddy:shower case:shower ceiling:shower ceiling lamp:shower cockpit:shower cosmetics:shower curtain:shower curtain bar:shower curtain rod:shower dial:shower door:shower door frame:shower door knob:shower floor:shower frame:shower glass:shower grab bar:shower handle:shower handrail:shower hanger:shower hose:shower hose/head:shower knob:shower mat:shower mirror:shower pipe:shower rail:shower rod:shower seat:shower shelf:shower soap shelf:shower stall:shower step:shower tap:shower tray:shower tub:shower utensil:shower valve:shower wall:shower wall cubby:shower window frame:shower-bath cabinet:showerhead:toilet:toilet brush:toilet brush holder:toilet cleaner:toilet paper:toilet paper dispenser:toilet seat:toothbrush:toothpaste:wall toilet paper,209,689,3.2966507177033493,4475,21.411483253588518,6.494920174165457,6
00016-qk9eeNeR4vw,13,Aggregate for bathroom:bath:bath bar:bath cabinet:bath carpet:bath cosmetics:bath curtain:bath curtain bar:bath dial:bath door:bath door frame:bath faucet:bath floor:bath grab bar:bath hanger:bath mat:bath shelf:bath shower:bath side table:bath sink:bath tap:bath towel:bath towels:bath tub:bath utensil:bath wall:bathmat:bathrobe:bathroom accessory:bathroom art:bathroom cabinet:bathroom cabinet door:bathroom cabinet drawer:bathroom counter:bathroom floor:bathroom glass:bathroom mat:bathroom rug:bathroom shelf:bathroom stuff:bathroom towel:bathroom utensil:bathroom utensils:bathroom wall:bathroom window:bathtub:bathtub knob:bathtub platform:bathtub tap:bathtub utensil:bidet:shower:shower bar:shower base:shower battery:shower bench:shower cabin:shower cabinet:shower caddy:shower case:shower ceiling:shower ceiling lamp:shower cockpit:shower cosmetics:shower curtain:shower curtain bar:shower curtain rod:shower dial:shower door:shower door frame:shower door knob:shower floor:shower frame:shower glass:shower grab bar:shower handle:shower handrail:shower hanger:shower hose:shower hose/head:shower knob:shower mat:shower mirror:shower pipe:shower rail:shower rod:shower seat:shower shelf:shower soap shelf:shower stall:shower step:shower tap:shower tray:shower tub:shower utensil:shower valve:shower wall:shower wall cubby:shower window frame:shower-bath cabinet:showerhead:toilet:toilet brush:toilet brush holder:toilet cleaner:toilet paper:toilet paper dispenser:toilet seat:toothbrush:toothpaste:wall toilet paper,209,689,3.2966507177033493,4475,21.411483253588518,6.494920174165457,5
00017-oEPjPNSPmzL,3,Aggregate for bathroom:bath:bath bar:bath cabinet:bath carpet:bath cosmetics:bath curtain:bath curtain bar:bath dial:bath door:bath door frame:bath faucet:bath floor:bath grab bar:bath hanger:bath mat:bath shelf:bath shower:bath side table:bath sink:bath tap:bath towel:bath towels:bath tub:bath utensil:bath wall:bathmat:bathrobe:bathroom accessory:bathroom art:bathroom cabinet:bathroom cabinet door:bathroom cabinet drawer:bathroom counter:bathroom floor:bathroom glass:bathroom mat:bathroom rug:bathroom shelf:bathroom stuff:bathroom towel:bathroom utensil:bathroom utensils:bathroom wall:bathroom window:bathtub:bathtub knob:bathtub platform:bathtub tap:bathtub utensil:bidet:shower:shower bar:shower base:shower battery:shower bench:shower cabin:shower cabinet:shower caddy:shower case:shower ceiling:shower ceiling lamp:shower cockpit:shower cosmetics:shower curtain:shower curtain bar:shower curtain rod:shower dial:shower door:shower door frame:shower door knob:shower floor:shower frame:shower glass:shower grab bar:shower handle:shower handrail:shower hanger:shower hose:shower hose/head:shower knob:shower mat:shower mirror:shower pipe:shower rail:shower rod:shower seat:shower shelf:shower soap shelf:shower stall:shower step:shower tap:shower tray:shower tub:shower utensil:shower valve:shower wall:shower wall cubby:shower window frame:shower-bath cabinet:showerhead:toilet:toilet brush:toilet brush holder:toilet cleaner:toilet paper:toilet paper dispenser:toilet seat:toothbrush:toothpaste:wall toilet paper,209,689,3.2966507177033493,4475,21.411483253588518,6.494920174165457,2
00017-oEPjPNSPmzL,4,Aggregate for bathroom:bath:bath bar:bath cabinet:bath carpet:bath cosmetics:bath curtain:bath curtain bar:bath dial:bath door:bath door frame:bath faucet:bath floor:bath grab bar:bath hanger:bath mat:bath shelf:bath shower:bath side table:bath sink:bath tap:bath towel:bath towels:bath tub:bath utensil:bath wall:bathmat:bathrobe:bathroom accessory:bathroom art:bathroom cabinet:bathroom cabinet door:bathroom cabinet drawer:bathroom counter:bathroom floor:bathroom glass:bathroom mat:bathroom rug:bathroom shelf:bathroom stuff:bathroom towel:bathroom utensil:bathroom utensils:bathroom wall:bathroom window:bathtub:bathtub knob:bathtub platform:bathtub tap:bathtub utensil:bidet:shower:shower bar:shower base:shower battery:shower bench:shower cabin:shower cabinet:shower caddy:shower case:shower ceiling:shower ceiling lamp:shower cockpit:shower cosmetics:shower curtain:shower curtain bar:shower curtain rod:shower dial:shower door:shower door frame:shower door knob:shower floor:shower frame:shower glass:shower grab bar:shower handle:shower handrail:shower hanger:shower hose:shower hose/head:shower knob:shower mat:shower mirror:shower pipe:shower rail:shower rod:shower seat:shower shelf:shower soap shelf:shower stall:shower step:shower tap:shower tray:shower tub:shower utensil:shower valve:shower wall:shower wall cubby:shower window frame:shower-bath cabinet:showerhead:toilet:toilet brush:toilet brush holder:toilet cleaner:toilet paper:toilet paper dispenser:toilet seat:toothbrush:toothpaste:wall toilet paper,209,689,3.2966507177033493,4475,21.411483253588518,6.494920174165457,3
